S. no.,Name of City,State,Type,Population (2011),Population class
370,Nirmal,Telangana,Municipality,88433.0,Class II
371,Udhagamandalam,Tamil Nadu,Municipality,88430.0,Class II
372,Shikohabad,Uttar Pradesh,Municipal board,88161.0,
373,Jhumri Tilaiya,Jharkhand,Nagar Panchayat,87867.0,Class II
374,Aruppukkottai,Tamil Nadu,Municipality,87722.0,Class II
375,Ponnani,Kerala,Municipality,87495.0,
376,Jamui,Bihar,Nagar Panchayat,87357.0,Class II
377,Sitamarhi,Bihar,Urban Agglomeration,87279.0,
378,Chirala,Andhra Pradesh,Municipality,87200.0,Class II
379,Anjar,Gujarat,Municipality,87183.0,Class II
380,Karaikal,Puducherry,Municipality,86838.0,Class II
381,Hansi,Haryana,Municipal Council,86770.0,Class II
382,Anakapalle,Andhra Pradesh,Municipality,86519.0,Class II
383,Mahasamund,Chhattisgarh,Municipality,85650.0,Class II
384,Faridkot,Punjab,Municipal Council,85435.0,Class II
385,Saunda,Jharkhand,Census town,85075.0,
386,Dhoraji,Gujarat,Municipality,84545.0,Class II
387,Paramakudi,Tamil Nadu,Municipality,84321.0,
388,Balaghat,Madhya Pradesh,Municipality,84261.0,Class II
389,Sujangarh,Rajasthan,Municipality,83846.0,
390,Khambhat,Gujarat,Municipality,83715.0,Class II
391,Muktsar,Punjab,Municipal Council,83655.0,
392,Rajpura,Punjab,Municipal Council,82956.0,
393,Kavali,Andhra Pradesh,Municipality,82336.0,Class II
394,Dhamtari,Chhattisgarh,Municipality,82111.0,Class II
395,Ashok Nagar,Madhya Pradesh,Municipality,81828.0,Class II
396,Sardarshahar,Rajasthan,Municipality,81394.0,
397,Mahuva,Gujarat,Urban Agglomeration,80726.0,
398,Bargarh,Odisha,Municipality,80625.0,Class II
399,Kamareddy,Telangana,Municipality,80315.0,Class II
400,Sahibganj,Jharkhand,Municipality,80154.0,
401,Kothagudem,Telangana,Municipality,79819.0,Class II
402,Ramanagaram,Karnataka,City Municipal Council,79394.0,
403,Gokak,Karnataka,City Municipal Council,79121.0,Class II
404,Tikamgarh,Madhya Pradesh,Municipality,79106.0,Class II
405,Araria,Bihar,Nagar Panchayat.,79021.0,Class II
406,Rishikesh,Uttarakhand,Urban Agglomeration,78805.0,
407,Shahdol,Madhya Pradesh,Municipality,78624.0,
408,Medininagar (Daltonganj),Jharkhand,Nagar Parishad,78396.0,Class II
409,Arakkonam,Tamil Nadu,Municipality,78395.0,Class II
410,Washim,Maharashtra,Municipal Council,78387.0,Class II
411,Sangrur,Punjab,Municipal Council,77989.0,
412,Bodhan,Telangana,Municipality,77573.0,Class II
413,Fazilka,Punjab,Municipal Council,76492.0,Class II
414,Palacole,Andhra Pradesh,Urban Agglomeration,76308.0,
415,Keshod,Gujarat,Municipality,76193.0,Class II
416,Sullurpeta,Andhra Pradesh,Municipality,75925.0,
417,Wadhwan,Gujarat,Municipality,75755.0,Class II
418,Gurdaspur,Punjab,Municipal Council,75549.0,Class II
419,Vatakara,Kerala,Municipality,75295.0,Class II
420,Tura,Meghalaya,Municipality,74858.0,Class II
421,Narnaul,Haryana,Municipal Council,74581.0,Class II
422,Kharar,Punjab,Municipal Council,74460.0,Class II
423,Yadgir,Karnataka,City Municipal Council,74294.0,Class II
424,Ambejogai,Maharashtra,Municipal Council,73975.0,Class II
425,Ankleshwar,Gujarat,Municipality,73928.0,Class II
426,Savarkundla,Gujarat,Municipality,73774.0,
427,Paradip,Odisha,Notified area committee / Notified Area Council,73625.0,
428,Virudhachalam,Tamil Nadu,Municipality,73585.0,Class II
429,Kanhangad,Kerala,Municipality,73342.0,Class II
430,Kadi,Gujarat,Municipality,73228.0,Class II
431,Srivilliputhur,Tamil Nadu,Municipality,73183.0,
432,Gobindgarh,Punjab,Municipal Council,73130.0,Class II
433,Tindivanam,Tamil Nadu,Municipality,72796.0,Class II
434,Mansa,Punjab,Municipal Council,72627.0,
435,Taliparamba,Kerala,Municipality,72465.0,Class II
436,Manmad,Maharashtra,Municipal Council,72401.0,
437,Tanuku,Andhra Pradesh,Municipality,72348.0,Class II
438,Rayachoti,Andhra Pradesh,Census town,72297.0,
439,Virudhunagar,Tamil Nadu,Municipality,72296.0,Class II
440,Koyilandy,Kerala,Municipality,71873.0,Class II
441,Jorhat,Assam,Municipal board,71782.0,Class II
442,Karur,Tamil Nadu,Municipality,70980.0,Class II
443,Valparai,Tamil Nadu,Municipality,70859.0,Class II
444,Srikalahasti,Andhra Pradesh,Municipality,70854.0,
445,Neyyattinkara,Kerala,Municipality,70850.0,Class II
446,Bapatla,Andhra Pradesh,Municipality,70777.0,Class II
447,Fatehabad,Haryana,Municipal Council,70777.0,Class II
448,Malout,Punjab,Municipal Council,70765.0,
449,Sankarankovil,Tamil Nadu,Municipality,70574.0,Class II
450,Tenkasi,Tamil Nadu,Municipality,70545.0,Class II
451,Ratnagiri,Maharashtra,Municipal Council,70383.0,
452,Rabkavi Banhatti,Karnataka,City Municipal Council,70248.0,
453,Sikandrabad,Uttar Pradesh,Municipal board,69867.0,
454,Chaibasa,Jharkhand,Nagar Palika Parishad,69565.0,Class II
455,Chirmiri,Chhattisgarh,Municipal Corporation / Corporation.,69307.0,Class II
456,Palwancha,Telangana,Municipality,69088.0,
457,Bhawanipatna,Odisha,Municipality,69045.0,Class II
458,Kayamkulam,Kerala,Municipality,68634.0,Class II
459,Pithampur,Madhya Pradesh,Nagar Panchayat,68080.0,
460,Nabha,Punjab,Municipal Council,67972.0,Class II
461,"Shahabad, Hardoi",Uttar Pradesh,Municipal board,67751.0,
462,Dhenkanal,Odisha,Municipality,67414.0,Class II
463,Uran Islampur,Maharashtra,Municipal Council,67391.0,Class II
464,Gopalganj,Bihar,Nagar Panchayat,67339.0,Class II
465,Bongaigaon City,Assam,Municipal board,67322.0,Class II
466,Palani,Tamil Nadu,Municipality,67231.0,
467,Pusad,Maharashtra,Municipal Council,67116.0,
468,Sopore,Jammu and Kashmir,Urban Agglomeration,66963.0,
469,Pilkhuwa,Uttar Pradesh,Municipal board,66907.0,
470,Tarn Taran,Punjab,Municipal Council,66847.0,Class II
471,Renukoot,Uttar Pradesh,Urban Agglomeration,66597.0,
472,Mandamarri,Telangana,Municipality,66596.0,
473,Shahabad,Karnataka,Urban Agglomeration,66550.0,
474,Barbil,Odisha,Municipality,66540.0,Class II
475,Koratla,Telangana,Municipality,66504.0,Class II
476,Madhubani,Bihar,Municipality,66340.0,
477,Arambagh,West Bengal,Municipality,66175.0,Class II
478,Gohana,Haryana,Municipal Committee,65708.0,Class II
479,Ladnu,Rajasthan,Municipality,65575.0,Class II
480,Pattukkottai,Tamil Nadu,Municipality,65533.0,
481,Sirsi,Karnataka,Urban Agglomeration,65335.0,
482,Sircilla,Telangana,Municipality,65314.0,
483,Tamluk,West Bengal,Municipality,65306.0,Class II
484,Jagraon,Punjab,Municipal Council,65240.0,Class II
485,AlipurdUrban Agglomerationr,West Bengal,Municipality,65232.0,Class II
486,Alirajpur,Madhya Pradesh,Municipality,65232.0,Class II
487,Tandur,Telangana,Municipality,65115.0,Class II
488,Naidupet,Andhra Pradesh,Municipality,65000.0,Class II
489,Tirupathur,Tamil Nadu,Municipality,64125.0,Class II
490,Tohana,Haryana,Municipal Committee,63871.0,Class II
491,Ratangarh,Rajasthan,Municipality,63486.0,
492,Dhubri,Assam,Municipal board,63388.0,Class II
493,Masaurhi,Bihar,Nagar Parishad,63248.0,
494,Visnagar,Gujarat,Municipality,63073.0,Class II
495,Vrindavan,Uttar Pradesh,Municipal board,63005.0,Class II
496,Nokha,Rajasthan,Municipality,62699.0,Class II
497,Nagari,Andhra Pradesh,Municipality,62253.0,Class II
498,Narwana,Haryana,Municipal Council,62090.0,Class II
499,Ramanathapuram,Tamil Nadu,Municipality,62050.0,
500,Ujhani,Uttar Pradesh,Nagar Palika Parishad.,62039.0,Class II
501,Samastipur,Bihar,Urban Agglomeration,61998.0,
502,Laharpur,Uttar Pradesh,Nagar Palika Parishad,61990.0,Class II
503,Sangamner,Maharashtra,Municipal Council,61958.0,
504,Nimbahera,Rajasthan,Municipality,61949.0,Class II
505,Siddipet,Telangana,Municipality,61809.0,
506,Suri,West Bengal,Municipality,61806.0,
507,Diphu,Assam,Town Committee / Town Area Committee,61797.0,Class II
508,Jhargram,West Bengal,Municipality,61712.0,Class II
509,Shirpur-Warwade,Maharashtra,Municipal Council,61694.0,
510,Tilhar,Uttar Pradesh,Nagar Palika Parishad.,61444.0,Class II
511,Sindhnur,Karnataka,Town Municipal Council,61262.0,
512,Udumalaipettai,Tamil Nadu,Municipality,61133.0,Class II
513,Malkapur,Maharashtra,Municipal Council,61012.0,
514,Wanaparthy,Telangana,Municipality,60949.0,Class II
515,Gudur,Andhra Pradesh,Municipality,60625.0,Class II
516,Kendujhar,Odisha,Municipality,60590.0,Class II
517,Mandla,Madhya Pradesh,Urban Agglomeration,60542.0,
518,Mandi,Himachal Pradesh,Municipal Council,60387.0,
519,Nedumangad,Kerala,Municipality,60161.0,Class II
520,North Lakhimpur,Assam,Municipal board,59814.0,Class II
521,Vinukonda,Andhra Pradesh,Municipality,59725.0,Class II
522,Tiptur,Karnataka,City Municipal Council,59543.0,Class II
523,Gobichettipalayam,Tamil Nadu,Municipality,59523.0,Class II
524,Sunabeda,Odisha,Notified area committee / Notified Area Council,58884.0,
525,Wani,Maharashtra,Municipal Council,58840.0,Class II
526,Upleta,Gujarat,Municipality,58775.0,Class II
527,Narasapuram,Andhra Pradesh,Municipality,58770.0,Class II
528,Nuzvid,Andhra Pradesh,Municipality,58590.0,Class II
529,Tezpur,Assam,Municipal board.,58559.0,Class II
530,Una,Gujarat,Municipality,58528.0,Class II
531,Markapur,Andhra Pradesh,Municipality,58462.0,
532,Sheopur,Madhya Pradesh,Urban Agglomeration,58342.0,
533,Thiruvarur,Tamil Nadu,Municipality,58301.0,Class II
534,Sidhpur,Gujarat,Urban Agglomeration,58194.0,
535,Sahaswan,Uttar Pradesh,Municipal board,58184.0,
536,Suratgarh,Rajasthan,Municipality,58119.0,
537,Shajapur,Madhya Pradesh,Urban Agglomeration,57818.0,
538,Rayagada,Odisha,Municipality,57759.0,
539,Lonavla,Maharashtra,Municipal Council,57698.0,Class II
540,Ponnur,Andhra Pradesh,Municipality,57640.0,
541,Kagaznagar,Telangana,Municipality,57583.0,Class II
542,Gadwal,Telangana,Municipality,57569.0,Class II
543,Bhatapara,Chhattisgarh,Municipality,57537.0,Class II
544,Kandukur,Andhra Pradesh,Municipality,57246.0,Class II
545,Sangareddy,Telangana,Municipality,57113.0,
546,Unjha,Gujarat,Municipality,57108.0,Class II
547,Lunglei,Mizoram,Notified Town,57011.0,Class II
548,Karimganj,Assam,Municipal board,56854.0,Class II
549,Kannur,Kerala,Municipality,56823.0,Class II
550,Bobbili,Andhra Pradesh,Municipality,56819.0,Class II
551,Mokameh,Bihar,Municipality,56615.0,
552,Talegaon Dabhade,Maharashtra,Municipal Council,56435.0,Class II
553,Anjangaon,Maharashtra,Municipal Council,56380.0,Class II
554,Mangrol,Gujarat,Urban Agglomeration,56320.0,
555,Sunam,Punjab,Urban Agglomeration,56251.0,
556,Gangarampur,West Bengal,Municipality,56175.0,Class II
557,Thiruvallur,Tamil Nadu,Municipality,56074.0,Class II
558,Tirur,Kerala,Municipality,56058.0,Class II
559,Rath,Uttar Pradesh,Municipal board,55950.0,
560,Jatani,Odisha,Municipality,55925.0,Class II
561,Viramgam,Gujarat,Municipality,55821.0,Class II
562,Rajsamand,Rajasthan,Municipality,55687.0,
563,Yanam,Puducherry,Municipality,55626.0,Class II
564,Kottayam,Kerala,Municipality,55374.0,Class II
565,Panruti,Tamil Nadu,Municipality,55346.0,
566,Dhuri,Punjab,Municipal Council,55225.0,Class II
567,Namakkal,Tamil Nadu,Municipality,55145.0,Class II
568,Kasaragod,Kerala,Municipality,54172.0,Class II
569,Modasa,Gujarat,Municipality,54135.0,
570,Rayadurg,Andhra Pradesh,Municipality,54125.0,
571,Supaul,Bihar,Municipality,54085.0,
572,Kunnamkulam,Kerala,Municipality,54071.0,Class II
573,Umred,Maharashtra,Municipal Council,53971.0,Class II
574,Bellampalle,Telangana,Municipality,53958.0,Class II
575,Sibsagar,Assam,Municipal board,53854.0,
576,Mandi Dabwali,Haryana,Municipal Committee,53811.0,
577,Ottappalam,Kerala,Municipality,53792.0,Class II
578,Dumraon,Bihar,Notified area committee / Notified Area Council,53618.0,Class II
579,Samalkot,Andhra Pradesh,Municipality,53602.0,
580,Jaggaiahpet,Andhra Pradesh,Municipality,53530.0,Class II
581,Goalpara,Assam,Municipal board,53430.0,Class II
582,Tuni,Andhra Pradesh,Municipality,53425.0,Class II
583,Lachhmangarh,Rajasthan,Municipality,53392.0,Class II
584,Bhongir,Telangana,Municipality,53339.0,Class II
585,Amalapuram,Andhra Pradesh,Municipality,53231.0,Class II
586,Firozpur Cantt.,Punjab,Cantonment Board / Cantonment,53199.0,Class II
587,Vikarabad,Telangana,Municipality,53143.0,Class II
588,Thiruvalla,Kerala,Municipality,52883.0,Class II
589,Sherkot,Uttar Pradesh,Municipal board,52880.0,
590,Palghar,Maharashtra,Municipal Council,52677.0,
591,Shegaon,Maharashtra,Municipal Council,52423.0,
592,Jangaon,Telangana,Municipality,52394.0,Class II
593,Bheemunipatnam,Andhra Pradesh,Municipality,52110.0,Class II
594,Panna,Madhya Pradesh,Urban Agglomeration,52057.0,
595,Thodupuzha,Kerala,Municipality,52045.0,Class II
596,KathUrban Agglomeration,Jammu and Kashmir,Municipal Council,51991.0,Class II
597,Palitana,Gujarat,Municipality,51944.0,
598,Arwal,Bihar,Nagar Panchayat.,51849.0,Class II
599,Venkatagiri,Andhra Pradesh,Municipality,51708.0,Class II
600,Kalpi,Uttar Pradesh,Nagar Palika Parishad,51670.0,Class II
601,Rajgarh (Churu),Rajasthan,Urban Agglomeration,51640.0,
602,Sattenapalle,Andhra Pradesh,Municipality,51404.0,
603,Arsikere,Karnataka,Town Municipal Council,51336.0,Class II
604,Ozar,Maharashtra,Census town,51297.0,Class II
605,Thirumangalam,Tamil Nadu,Municipality,51194.0,Class II
606,Petlad,Gujarat,Municipality,51147.0,
607,Nasirabad,Rajasthan,Cantonment Board / Cantonment,50804.0,Class II
608,Phaltan,Maharashtra,Municipal Council,50800.0,
609,Rampurhat,West Bengal,Municipality,50613.0,
610,Nanjangud,Karnataka,Town Municipal Council,50598.0,Class II
611,Forbesganj,Bihar,Municipality,50475.0,Class II
612,Tundla,Uttar Pradesh,Nagar Palika Parishad,50423.0,Class II
613,BhabUrban Agglomeration,Bihar,Nagar Panchayat,50179.0,Class II
614,Sagara,Karnataka,Town Municipal Council,50131.0,
615,Pithapuram,Andhra Pradesh,Municipality,50103.0,
616,Sira,Karnataka,Town Municipal Council,50088.0,
617,Bhadrachalam,Telangana,Census town,50087.0,Class II
618,Charkhi Dadri,Haryana,Nagar Palika Parishad,49985.0,Class III
619,Chatra,Jharkhand,Municipality,49985.0,Class III
620,Palasa Kasibugga,Andhra Pradesh,Nagar Panchayat,49899.0,
621,Nohar,Rajasthan,Municipality,49835.0,Class III
622,Yevla,Maharashtra,Municipal Council,49826.0,Class III
623,Sirhind Fatehgarh Sahib,Punjab,Municipal Council,49825.0,
624,Bhainsa,Telangana,Municipality,49764.0,Class III
625,Parvathipuram,Andhra Pradesh,Municipality,49714.0,
626,Shahade,Maharashtra,Municipal Council,49696.0,
627,Chalakudy,Kerala,Municipality,49525.0,Class III
628,Narkatiaganj,Bihar,Nagar Parishad,49507.0,Class III
629,Kapadvanj,Gujarat,Municipality,49308.0,Class III
630,Macherla,Andhra Pradesh,Municipality,49221.0,
631,Raghogarh-Vijaypur,Madhya Pradesh,Municipality,49173.0,
632,Rupnagar,Punjab,Municipal Council,49159.0,
633,Naugachhia,Bihar,Nagar Panchayat,49069.0,Class III
634,Sendhwa,Madhya Pradesh,Municipality,48941.0,
635,Byasanagar,Odisha,Municipality,48911.0,Class III
636,Sandila,Uttar Pradesh,Municipal board,48899.0,
637,Gooty,Andhra Pradesh,Census town,48658.0,Class III
638,Salur,Andhra Pradesh,Municipality,48354.0,
639,Nanpara,Uttar Pradesh,Nagar Palika Parishad,48337.0,Class III
640,Sardhana,Uttar Pradesh,Municipal board,48314.0,
641,Vita,Maharashtra,Municipal Council,48289.0,Class III
642,Gumia,Jharkhand,Census town,48141.0,Class III
643,Puttur,Karnataka,Town Municipal Council,48070.0,
644,Jalandhar Cantt.,Punjab,Cantonment Board / Cantonment,47845.0,Class III
645,Nehtaur,Uttar Pradesh,Nagar Palika Parishad,47834.0,Class III
646,Changanassery,Kerala,Municipality,47685.0,Class III
647,Mandapeta,Andhra Pradesh,Municipality,47638.0,
648,Dumka,Jharkhand,Notified area committee / Notified Area Council,47584.0,Class III
649,Seohara,Uttar Pradesh,Urban Agglomeration,47575.0,
650,Umarkhed,Maharashtra,Municipal Council,47458.0,Class III
651,Madhupur,Jharkhand,Municipality,47326.0,
652,Vikramasingapuram,Tamil Nadu,Municipality,47241.0,Class III
653,Punalur,Kerala,Municipality,47235.0,
654,Kendrapara,Odisha,Municipality,47006.0,Class III
655,Sihor,Gujarat,Municipality,46960.0,
656,Nellikuppam,Tamil Nadu,Municipality,46678.0,Class III
657,Samana,Punjab,Municipal Council,46592.0,
658,Warora,Maharashtra,Municipal Council,46532.0,Class III
659,Nilambur,Kerala,Census town,46366.0,Class III
660,Rasipuram,Tamil Nadu,Municipality,46330.0,
661,Ramnagar,Uttarakhand,Municipal board,46205.0,
662,Jammalamadugu,Andhra Pradesh,Nagar Panchayat,46069.0,Class III
663,Nawanshahr,Punjab,Municipal Council,46024.0,Class III
664,Thoubal,Manipur,Municipal Council,45947.0,Class III
665,Athni,Karnataka,Town Municipal Council,45858.0,Class III
666,Cherthala,Kerala,Municipality,45827.0,Class III
667,Sidhi,Madhya Pradesh,Municipality,45700.0,
668,Farooqnagar,Telangana,Census town.,45675.0,Class III
669,Peddapuram,Andhra Pradesh,Municipality,45520.0,
670,Chirkunda,Jharkhand,Nagar Panchayat,45508.0,Class III
671,Pachora,Maharashtra,Municipal Council,45333.0,
672,Madhepura,Bihar,Municipality,45031.0,
673,Pithoragarh,Uttarakhand,Municipal board,44964.0,
674,Tumsar,Maharashtra,Municipal Council,44869.0,Class III
675,Phalodi,Rajasthan,Urban Agglomeration,44868.0,
676,Tiruttani,Tamil Nadu,Municipality,44781.0,Class III
677,Rampura Phul,Punjab,Urban Agglomeration,44665.0,
678,Perinthalmanna,Kerala,Municipality,44612.0,
679,Padrauna,Uttar Pradesh,Municipal board,44383.0,
680,Pipariya,Madhya Pradesh,Urban Agglomeration,44378.0,
681,Dalli-Rajhara,Chhattisgarh,Municipality,44363.0,Class III
682,Punganur,Andhra Pradesh,Nagar Panchayat,44314.0,
683,Mattannur,Kerala,Municipality,44313.0,
684,Mathura,Uttar Pradesh,Municipality,44313.0,
685,Thakurdwara,Uttar Pradesh,Nagar Palika Parishad.,44255.0,Class III
686,Nandivaram-Guduvancheri,Tamil Nadu,Town Panchayat,44098.0,Class III
687,Mulbagal,Karnataka,Town Municipal Council,44033.0,
688,Manjlegaon,Maharashtra,Municipal Council,44029.0,
689,Wankaner,Gujarat,Municipality,43881.0,Class III
690,Sillod,Maharashtra,Municipal Council,43867.0,
691,Nidadavole,Andhra Pradesh,Municipality,43809.0,Class III
692,Surapura,Karnataka,Town Municipal Council,43622.0,
693,Rajagangapur,Odisha,Municipality,43594.0,
694,Sheikhpura,Bihar,Municipality,43113.0,
695,Parlakhemundi,Odisha,Municipality,43097.0,
696,Kalimpong,West Bengal,Municipality,42998.0,Class III
697,Siruguppa,Karnataka,Town Panchayat,42919.0,
698,Arvi,Maharashtra,Municipal Council,42822.0,Class III
699,Limbdi,Gujarat,Municipality,42769.0,Class III
700,Barpeta,Assam,Municipal board,42649.0,Class III
701,Manglaur,Uttarakhand,Municipal board,42584.0,
702,Repalle,Andhra Pradesh,Municipality,42539.0,
703,Mudhol,Karnataka,Town Municipal Council,42461.0,
704,Shujalpur,Madhya Pradesh,Municipality,42461.0,
705,Mandvi,Gujarat,Municipality,42355.0,
706,Thangadh,Gujarat,Municipality,42351.0,Class III
707,Sironj,Madhya Pradesh,Municipality,42179.0,
708,Nandura,Maharashtra,Municipal Council,42167.0,Class III
709,Shoranur,Kerala,Municipality,42029.0,
710,Nathdwara,Rajasthan,Municipality,42016.0,Class III
711,Periyakulam,Tamil Nadu,Municipality,42012.0,
712,Sultanganj,Bihar,Notified area,41958.0,
713,Medak,Telangana,Nagar Panchayat,41945.0,
714,Narayanpet,Telangana,Nagar Panchayat,41752.0,Class III
715,Raxaul Bazar,Bihar,Municipality,41610.0,
716,Rajauri,Jammu and Kashmir,Notified area committee / Notified Area Council,41552.0,
717,Pernampattu,Tamil Nadu,Town Panchayat,41499.0,
718,Nainital,Uttarakhand,Nagar Palika Parishad,41377.0,Class III
719,Ramachandrapuram,Andhra Pradesh,Municipality,41370.0,
720,Vaijapur,Maharashtra,Municipal Council,41296.0,Class III
721,Nangal,Punjab,Municipal Council,41172.0,Class III
722,Sidlaghatta,Karnataka,Town Municipal Council,41098.0,
723,Punch,Jammu and Kashmir,Municipal board,40987.0,
724,Pandhurna,Madhya Pradesh,Municipality,40931.0,
725,Wadgaon Road,Maharashtra,Census town.,40884.0,Class III
726,Talcher,Odisha,Municipality,40841.0,Class III
727,Varkala,Kerala,Municipality,40728.0,Class III
728,Pilani,Rajasthan,Urban Agglomeration,40590.0,
729,Nowgong,Madhya Pradesh,Municipality,40580.0,Class III
730,Naila Janjgir,Chhattisgarh,Municipality,40561.0,Class III
731,Mapusa,Goa,Municipal Council,40487.0,
732,Vellakoil,Tamil Nadu,Municipality,40359.0,Class III
733,Merta City,Rajasthan,Municipality,40252.0,
734,Sivaganga,Tamil Nadu,Urban Agglomeration,40220.0,
735,Mandideep,Madhya Pradesh,Municipality,39859.0,
736,Sailu,Maharashtra,Municipal Council,39851.0,
737,Vyara,Gujarat,Municipality,39789.0,Class III
738,Kovvur,Andhra Pradesh,Municipality,39667.0,Class III
739,Vadalur,Tamil Nadu,Town Panchayat,39514.0,Class III
740,Nawabganj,Uttar Pradesh,Nagar Palika Parishad,39241.0,Class III
741,Padra,Gujarat,Urban Agglomeration,39205.0,
742,Sainthia,West Bengal,Municipality,39145.0,
743,Siana,Uttar Pradesh,Municipal board,38999.0,
744,Shahpur,Karnataka,Town Municipal Council,38907.0,
745,Sojat,Rajasthan,Municipality,38883.0,
746,Noorpur,Uttar Pradesh,Nagar Palika Parishad,38806.0,Class III
747,Paravoor,Kerala,Municipality,38652.0,
748,Murtijapur,Maharashtra,Municipal Council,38554.0,
749,Ramnagar,Bihar,Notified area,38554.0,
750,Sundargarh,Odisha,Municipality,38421.0,
751,Taki,West Bengal,Municipality,38263.0,Class III
752,Saundatti-Yellamma,Karnataka,Town Municipal Council,38155.0,
753,Pathanamthitta,Kerala,Municipality,38009.0,
754,Wadi,Karnataka,Town Municipal Council,37988.0,Class III
755,Rameshwaram,Tamil Nadu,Town Panchayat,37968.0,
756,Tasgaon,Maharashtra,Municipal Council,37945.0,Class III
757,Sikandra Rao,Uttar Pradesh,Municipal board,37938.0,
758,Sihora,Madhya Pradesh,Municipality,37870.0,
759,Tiruvethipuram,Tamil Nadu,Municipality,37802.0,Class III
760,Tiruvuru,Andhra Pradesh,Municipality,37802.0,Class III
761,Mehkar,Maharashtra,Municipal Council,37715.0,
762,Peringathur,Kerala,Census town,37699.0,
763,Perambalur,Tamil Nadu,Town Panchayat,37631.0,
764,Manvi,Karnataka,Town Municipal Council,37613.0,
765,Zunheboto,Nagaland,Town Committee / Town Area Committee,37447.0,Class III
766,Mahnar Bazar,Bihar,Municipality,37370.0,
767,Attingal,Kerala,Municipality,37346.0,Class III
768,Shahbad,Haryana,Municipal Committee,37289.0,
769,Puranpur,Uttar Pradesh,Municipal board,37233.0,
770,Nelamangala,Karnataka,Town Municipal Council,37232.0,Class III
771,Nakodar,Punjab,Municipal Council,36973.0,Class III
772,Lunawada,Gujarat,Municipality,36954.0,Class III
773,Murshidabad,West Bengal,Municipality,36947.0,
774,Mahe,Puducherry,Municipality,36828.0,
775,Lanka,Assam,Municipal board,36805.0,Class III
776,Rudauli,Uttar Pradesh,Municipal board,36776.0,
777,Tuensang,Nagaland,Town Committee / Town Area Committee,36774.0,Class III
778,Lakshmeshwar,Karnataka,Town Municipal Council,36754.0,Class III
779,Zira,Punjab,Municipal Council,36732.0,Class III
780,Yawal,Maharashtra,Municipal Council,36706.0,Class III
781,Thana Bhawan,Uttar Pradesh,Nagar Panchayat.,36669.0,Class III
782,Ramdurg,Karnataka,Urban Agglomeration,36649.0,
783,Pulgaon,Maharashtra,Municipal Council,36522.0,
784,Sadasivpet,Telangana,Municipality,36334.0,
785,Nargund,Karnataka,Town Municipal Council,36291.0,Class III
786,Neem-Ka-Thana,Rajasthan,Municipality,36231.0,Class III
787,Memari,West Bengal,Municipality,36207.0,
788,Nilanga,Maharashtra,Municipal Council,36172.0,Class III
789,Naharlagun,Arunachal Pradesh,Notified Town,36158.0,Class III
