S. no.,Name of City,State,Type,Population (2011),Population class
790,Pakaur,Jharkhand,Municipality,36029.0,
791,Wai,Maharashtra,Municipal Council,36025.0,Class III
792,Tarikere,Karnataka,Town Municipal Council,35942.0,Class III
793,Malavalli,Karnataka,Town Municipal Council,35851.0,
794,Raisen,Madhya Pradesh,Municipality,35702.0,
795,Lahar,Madhya Pradesh,Nagar Panchayat,35674.0,Class III
796,Uravakonda,Andhra Pradesh,Census town,35565.0,Class III
797,Savanur,Karnataka,Town Municipal Council,35563.0,
798,Sirohi,Rajasthan,Municipality,35544.0,
799,Udhampur,Jammu and Kashmir,Urban Agglomeration,35507.0,Class III
800,Umarga,Maharashtra,Municipal Council,35477.0,Class III
801,Pratapgarh,Rajasthan,Municipality,35422.0,
802,Lingsugur,Karnataka,Town Municipal Council,35411.0,Class III
803,Usilampatti,Tamil Nadu,Municipality,35219.0,Class III
804,Palia Kalan,Uttar Pradesh,Municipal board,35029.0,
805,Wokha,Nagaland,Town Committee / Town Area Committee.,35004.0,Class III
806,Rajpipla,Gujarat,Municipality,34923.0,
807,Vijayapura,Karnataka,Town Municipal Council,34866.0,Class III
808,Rawatbhata,Rajasthan,Municipality,34690.0,
809,Sangaria,Rajasthan,Municipality,34537.0,
810,Paithan,Maharashtra,Municipal Council,34518.0,
811,Rahuri,Maharashtra,Municipal Council,34476.0,
812,Patti,Punjab,Municipal Council,34444.0,
813,Zaidpur,Uttar Pradesh,Nagar Panchayat,34443.0,Class III
814,Lalsot,Rajasthan,Municipality,34363.0,Class III
815,Maihar,Madhya Pradesh,Municipality,34342.0,
816,Vedaranyam,Tamil Nadu,Municipality,34266.0,Class III
817,Nawapur,Maharashtra,Municipal Council,34207.0,Class III
818,Solan,Himachal Pradesh,Municipal Council,34206.0,
819,Vapi,Gujarat,Industrial Notified Area,34162.0,Class III
820,Sanawad,Madhya Pradesh,Municipality,34114.0,
821,Warisaliganj,Bihar,Nagar Panchayat.,34056.0,Class III
822,Revelganj,Bihar,Municipality,34042.0,
823,Sabalgarh,Madhya Pradesh,Urban Agglomeration,34039.0,
824,Tuljapur,Maharashtra,Municipal Council,34011.0,Class III
825,Simdega,Jharkhand,Notified area,33981.0,
826,Musabani,Jharkhand,Census town,33980.0,
827,Kodungallur,Kerala,Municipality,33935.0,Class III
828,Phulabani,Odisha,Notified area committee / Notified Area Council,33890.0,
829,Umreth,Gujarat,Municipality,33762.0,Class III
830,Narsipatnam,Andhra Pradesh,Census town,33757.0,Class III
831,Nautanwa,Uttar Pradesh,Nagar Palika Parishad,33753.0,Class III
832,Rajgir,Bihar,Notified area,33738.0,
833,Yellandu,Telangana,Municipality,33732.0,Class III
834,Sathyamangalam,Tamil Nadu,Municipality,33722.0,
835,Pilibanga,Rajasthan,Municipality,33608.0,
836,Morshi,Maharashtra,Municipal Council,33607.0,
837,Pehowa,Haryana,Municipal Committee,33564.0,
838,Sonepur,Bihar,Notified area,33490.0,
839,Pappinisseri,Kerala,Census town,33273.0,
840,Zamania,Uttar Pradesh,Nagar Panchayat,33243.0,Class III
841,Mihijam,Jharkhand,Notified area,33236.0,
842,Purna,Maharashtra,Municipal Council,33225.0,
843,Puliyankudi,Tamil Nadu,Municipality,33187.0,
844,"Shikarpur, Bulandshahr",Uttar Pradesh,Municipal board,33187.0,
845,Umaria,Madhya Pradesh,Municipality,33114.0,Class III
846,Porsa,Madhya Pradesh,Municipality,33103.0,
847,Naugawan Sadat,Uttar Pradesh,Nagar Panchayat,32954.0,Class III
848,Fatehpur Sikri,Uttar Pradesh,Municipal board.,32905.0,Class III
849,Manuguru,Telangana,Census town,32893.0,
850,Udaipur,Tripura,Municipal Council,32758.0,Class III
851,Pipar City,Rajasthan,Municipality,32735.0,
852,Pattamundai,Odisha,Notified area committee / Notified Area Council,32730.0,
853,Nanjikottai,Tamil Nadu,Census town,32689.0,Class III
854,Taranagar,Rajasthan,Municipality,32640.0,Class III
855,Yerraguntla,Andhra Pradesh,Census town,32574.0,Class III
856,Satana,Maharashtra,Municipal Council,32561.0,
857,Sherghati,Bihar,Notified area,32526.0,
858,Sankeshwara,Karnataka,Town Municipal Council,32511.0,
859,Madikeri,Karnataka,Town Municipal Council,32496.0,
860,Thuraiyur,Tamil Nadu,Municipality,32439.0,Class III
861,Sanand,Gujarat,Municipality,32417.0,
862,Rajula,Gujarat,Municipality,32395.0,
863,Kyathampalle,Telangana,Census town,32385.0,Class III
864,"Shahabad, Rampur",Uttar Pradesh,Nagar Panchayat,32370.0,
865,Tilda Newra,Chhattisgarh,Municipality,32331.0,Class III
866,Narsinghgarh,Madhya Pradesh,Municipality,32329.0,Class III
867,Chittur-Thathamangalam,Kerala,Municipality,32298.0,Class III
868,Malaj Khand,Madhya Pradesh,Municipality,32296.0,
869,Sarangpur,Madhya Pradesh,Municipality,32294.0,
870,Robertsganj,Uttar Pradesh,Municipal board,32243.0,
871,Sirkali,Tamil Nadu,Municipality,32228.0,
872,Radhanpur,Gujarat,Municipality,32191.0,
873,Tiruchendur,Tamil Nadu,Town Panchayat,32171.0,Class III
874,Utraula,Uttar Pradesh,Nagar Palika Parishad.,32145.0,Class III
875,Patratu,Jharkhand,Census town,32134.0,
876,"Vijainagar, Ajmer",Rajasthan,Municipality,32124.0,Class III
877,Periyasemur,Tamil Nadu,Town Panchayat,32024.0,
878,Pathri,Maharashtra,Municipal Council,32001.0,
879,Sadabad,Uttar Pradesh,Nagar Panchayat,31742.0,
880,Talikota,Karnataka,Town Municipal Council,31693.0,Class III
881,Sinnar,Maharashtra,Municipal Council,31630.0,
882,Mungeli,Chhattisgarh,Urban Agglomeration,31613.0,
883,Sedam,Karnataka,Town Municipal Council,31539.0,
884,Shikaripur,Karnataka,Town Municipal Council,31516.0,
885,Sumerpur,Rajasthan,Municipality,31482.0,
886,Sattur,Tamil Nadu,Municipality,31443.0,
887,Sugauli,Bihar,Notified area,31432.0,
888,Lumding,Assam,Municipal board,31347.0,Class III
889,Vandavasi,Tamil Nadu,Municipality,31320.0,Class III
890,Titlagarh,Odisha,Notified area committee / Notified Area Council ,31258.0,Class III
891,Uchgaon,Maharashtra,Census town,31238.0,Class III
892,Mokokchung,Nagaland,Town Committee / Town Area Committee,31214.0,
893,Paschim Punropara,West Bengal,Census town,31198.0,
894,Sagwara,Rajasthan,Municipality,31127.0,
895,Ramganj Mandi,Rajasthan,Municipality,30973.0,
896,Tarakeswar,West Bengal,Municipality,30947.0,Class III
897,Mahalingapura,Karnataka,Town Municipal Council,30858.0,
898,Dharmanagar,Tripura,Municipal Council,30785.0,Class III
899,Mahemdabad,Gujarat,Municipality,30768.0,
900,Manendragarh,Chhattisgarh,Municipality,30758.0,
901,Uran,Maharashtra,Municipal Council,30439.0,Class III
902,Tharamangalam,Tamil Nadu,Town Panchayat,30222.0,Class III
903,Tirukkoyilur,Tamil Nadu,Town Panchayat,30212.0,Class III
904,Pen,Maharashtra,Municipal Council,30201.0,
905,Makhdumpur,Bihar,Notified area,30109.0,
906,Maner,Bihar,Notified area,30082.0,
907,Oddanchatram,Tamil Nadu,Town Panchayat,30064.0,Class III
908,Palladam,Tamil Nadu,Town Panchayat,30016.0,
909,Mundi,Madhya Pradesh,Nagar Panchayat,30000.0,
910,Nabarangapur,Odisha,Municipality,29960.0,Class III
911,Mudalagi,Karnataka,Town Municipal Council,29893.0,
912,Samalkha,Haryana,Municipal Committee,29866.0,
913,Nepanagar,Madhya Pradesh,Municipality,29682.0,Class III
914,Karjat,Maharashtra,Municipal Council,29663.0,Class III
915,Ranavav,Gujarat,Urban Agglomeration,29645.0,
916,Pedana,Andhra Pradesh,Nagar Panchayat,29613.0,
917,Pinjore,Haryana,Urban Agglomeration,29609.0,
918,Lakheri,Rajasthan,Municipality,29572.0,Class III
919,Pasan,Madhya Pradesh,Municipality,29565.0,
920,Puttur,Andhra Pradesh,Census town,29436.0,
921,Vadakkuvalliyur,Tamil Nadu,Town Panchayat,29417.0,Class III
922,Tirukalukundram,Tamil Nadu,Town Panchayat,29391.0,Class III
923,Mahidpur,Madhya Pradesh,Urban Agglomeration,29379.0,
924,Mussoorie,Uttarakhand,Urban Agglomeration,29329.0,
925,Muvattupuzha,Kerala,Municipality,29246.0,
926,Rasra,Uttar Pradesh,Municipal board,29238.0,
927,Udaipurwati,Rajasthan,Municipality,29236.0,Class III
928,Manwath,Maharashtra,Municipal Council,29218.0,
929,Adoor,Kerala,Municipality,29171.0,Class III
930,Uthamapalayam,Tamil Nadu,Town Panchayat,29050.0,Class III
931,Partur,Maharashtra,Municipal Council,29012.0,
932,Nahan,Himachal Pradesh,Municipal Council,28899.0,Class III
933,Ladwa,Haryana,Municipal Committee,28887.0,Class III
934,Mankachar,Assam,Census town,28780.0,
935,Nongstoin,Meghalaya,Town Committee / Town Area Committee,28742.0,Class III
936,Losal,Rajasthan,Municipality,28504.0,Class III
937,Sri Madhopur,Rajasthan,Municipality,28492.0,
938,Ramngarh,Rajasthan,Municipality,28458.0,
939,Mavelikkara,Kerala,Municipality,28439.0,
940,Rawatsar,Rajasthan,Municipality,28387.0,
941,Rajakhera,Rajasthan,Municipality,28349.0,
942,Lar,Uttar Pradesh,Nagar Panchayat,28307.0,Class III
943,Lal Gopalganj Nindaura,Uttar Pradesh,Nagar Panchayat,28288.0,Class III
944,Muddebihal,Karnataka,Town Municipal Council,28219.0,
945,Sirsaganj,Uttar Pradesh,Urban Agglomeration,28212.0,
946,Shahpura,Rajasthan,Municipality,28174.0,
947,Surandai,Tamil Nadu,Town Panchayat,28146.0,
948,Sangole,Maharashtra,Municipal Council,28116.0,
949,Pavagada,Karnataka,Town Panchayat,28068.0,
950,Tharad,Gujarat,Municipality,27954.0,Class III
951,Mansa,Gujarat,Municipality,27922.0,
952,Umbergaon,Gujarat,Municipality,27859.0,Class III
953,Mavoor,Kerala,Census town,27845.0,
954,Nalbari,Assam,Municipal board,27839.0,Class III
955,Talaja,Gujarat,Municipality,27822.0,Class III
956,Malur,Karnataka,Town Municipal Council,27815.0,
957,Mangrulpir,Maharashtra,Municipal Council,27815.0,
958,Soro,Odisha,Notified area committee / Notified Area Council,27794.0,
959,Shahpura,Rajasthan,Municipality,27792.0,
960,Vadnagar,Gujarat,Municipality,27790.0,Class III
961,Raisinghnagar,Rajasthan,Municipality,27736.0,
962,Sindhagi,Karnataka,Town Municipal Council,27732.0,
963,Sanduru,Karnataka,Town Panchayat,27614.0,
964,Sohna,Haryana,Municipal Committee,27570.0,
965,Manavadar,Gujarat,Municipality,27563.0,
966,Pihani,Uttar Pradesh,Municipal board,27545.0,
967,Safidon,Haryana,Municipal Committee,27541.0,
968,Risod,Maharashtra,Municipal Council,27516.0,
969,Rosera,Bihar,Municipality,27492.0,
970,Sankari,Tamil Nadu,Town Panchayat,27454.0,
971,Malpura,Rajasthan,Urban Agglomeration,27360.0,
972,Sonamukhi,West Bengal,Municipality,27354.0,
973,"Shamsabad, Agra",Uttar Pradesh,Municipal board,27338.0,
974,Nokha,Bihar,Nagar Panchayat,27302.0,Class III
975,PandUrban Agglomeration,West Bengal,Census town,27161.0,
976,Mainaguri,West Bengal,Census town,27106.0,
977,Afzalpur,Karnataka,Town Panchayat,27088.0,Class III
978,Shirur,Maharashtra,Municipal Council,26999.0,
979,Salaya,Gujarat,Municipality,26875.0,
980,Shenkottai,Tamil Nadu,Municipality,26838.0,
981,Pratapgarh,Tripura,Census town,26837.0,
982,Vadipatti,Tamil Nadu,Town Panchayat,26830.0,Class III
983,Nagarkurnool,Telangana,Census town,26801.0,Class III
984,Savner,Maharashtra,Municipal Council,26712.0,
985,Sasvad,Maharashtra,Municipal Council,26689.0,
986,Rudrapur,Uttar Pradesh,Nagar Panchayat,26683.0,
987,Soron,Uttar Pradesh,Municipal board,26678.0,
988,Sholingur,Tamil Nadu,Town Panchayat,26652.0,
989,Pandharkaoda,Maharashtra,Municipal Council,26572.0,
990,Perumbavoor,Kerala,Municipality,26547.0,
991,Maddur,Karnataka,Town Municipal Council,26521.0,
992,Nadbai,Rajasthan,Municipality,26411.0,Class III
993,Talode,Maharashtra,Municipal Council,26363.0,Class III
994,Shrigonda,Maharashtra,Municipal Council,26324.0,
995,Madhugiri,Karnataka,Town Municipal Council,26304.0,
996,Tekkalakote,Karnataka,Town Panchayat,26224.0,Class III
997,Seoni-Malwa,Madhya Pradesh,Municipality,26202.0,
998,Shirdi,Maharashtra,Municipal Council,26184.0,
999,SUrban Agglomerationr,Uttar Pradesh,Municipal board,26149.0,
1000,Terdal,Karnataka,Town Municipal Council,26088.0,Class III
1001,Raver,Maharashtra,Municipal Council,25993.0,
1002,Tirupathur,Tamil Nadu,Town Panchayat,25980.0,Class III
1003,Taraori,Haryana,Municipal Committee.,25944.0,Class III
1004,Mukhed,Maharashtra,Municipal Council,25933.0,
1005,Manachanallur,Tamil Nadu,Town Panchayat,25931.0,
1006,Rehli,Madhya Pradesh,Municipality,25890.0,
1007,Sanchore,Rajasthan,Municipality,25884.0,
1008,Rajura,Maharashtra,Municipal Council,25843.0,
1009,Piro,Bihar,Notified area,25811.0,
1010,Mudabidri,Karnataka,Town Municipal Council,25713.0,
1011,Vadgaon Kasba,Maharashtra,Municipal Council,25651.0,Class III
1012,Nagar,Rajasthan,Municipality,25572.0,Class III
1013,Vijapur,Gujarat,Municipality,25558.0,Class III
1014,Viswanatham,Tamil Nadu,Census town,25555.0,Class III
1015,Polur,Tamil Nadu,Town Panchayat,25505.0,
1016,Panagudi,Tamil Nadu,Town Panchayat,25501.0,
1017,Manawar,Madhya Pradesh,Municipality,25467.0,
1018,Tehri,Uttarakhand,Nagar Palika Parishad.,25423.0,Class III
1019,Samdhan,Uttar Pradesh,Nagar Panchayat,25327.0,
1020,Pardi,Gujarat,Municipality,25275.0,
1021,Rahatgarh,Madhya Pradesh,Nagar Panchayat,25215.0,
1022,Panagar,Madhya Pradesh,Municipality,25199.0,
1023,Uthiramerur,Tamil Nadu,Town Panchayat,25194.0,Class III
1024,Tirora,Maharashtra,Municipal Council,25181.0,Class III
1025,Rangia,Assam,Municipal board,25151.0,
1026,Sahjanwa,Uttar Pradesh,Nagar Panchayat,25107.0,
1027,Wara Seoni,Madhya Pradesh,Municipality,25103.0,Class III
1028,Magadi,Karnataka,Town Municipal Council,25031.0,
1029,Rajgarh (Alwar),Rajasthan,Municipality,25009.0,
1030,Rafiganj,Bihar,Notified area,24992.0,
1031,Tarana,Madhya Pradesh,Nagar Panchayat,24908.0,Class III
1032,Rampur Maniharan,Uttar Pradesh,Nagar Panchayat,24844.0,
1033,Sheoganj,Rajasthan,Municipality,24789.0,
1034,Raikot,Punjab,Municipal Council,24769.0,
1035,Pauri,Uttarakhand,Municipal board,24743.0,
1036,Sumerpur,Uttar Pradesh,Nagar Panchayat,24661.0,
1037,Navalgund,Karnataka,Town Municipal Council,24613.0,Class III
1038,Shahganj,Uttar Pradesh,Municipal board,24602.0,
1039,Marhaura,Bihar,Notified area,24548.0,
1040,Tulsipur,Uttar Pradesh,Nagar Panchayat,24488.0,Class III
1041,Sadri,Rajasthan,Municipality,24413.0,
1042,Thiruthuraipoondi,Tamil Nadu,Municipality,24404.0,Class III
1043,Shiggaon,Karnataka,Town Panchayat,24327.0,
1044,Pallapatti,Tamil Nadu,Census town,24326.0,
1045,Mahendragarh,Haryana,Municipal Committee,24323.0,
1046,Sausar,Madhya Pradesh,Nagar Panchayat,24312.0,
1047,Ponneri,Tamil Nadu,Town Panchayat,24309.0,
1048,Mahad,Maharashtra,Municipal Council,24276.0,
1049,Lohardaga,Jharkhand,Municipal Council,24125.0,Class III
1050,Tirwaganj,Uttar Pradesh,Nagar Panchayat,24082.0,Class III
1051,Margherita,Assam,Census town,24049.0,
1052,Sundarnagar,Himachal Pradesh,Municipal Council,23986.0,
1053,Rajgarh,Madhya Pradesh,Nagar Panchayat,23937.0,
1054,Mangaldoi,Assam,Municipal board,23920.0,
1055,Renigunta,Andhra Pradesh,Census town,23862.0,
1056,Longowal,Punjab,Municipal Council,23851.0,Class III
1057,Ratia,Haryana,Municipal Committee,23826.0,
1058,Lalgudi,Tamil Nadu,Town Panchayat,23740.0,Class III
1059,Shrirangapattana,Karnataka,Town Municipal Council,23729.0,
1060,Niwari,Madhya Pradesh,Nagar Panchayat,23724.0,Class III
1061,Natham,Tamil Nadu,Town Panchayat,23660.0,Class III
1062,Unnamalaikadai,Tamil Nadu,Town Panchayat,23656.0,Class III
1063,PurqUrban Agglomerationzi,Uttar Pradesh,Urban Agglomeration,23599.0,
1064,"Shamsabad, Farrukhabad",Uttar Pradesh,Nagar Panchayat,23596.0,
1065,Mirganj,Bihar,Notified area,23576.0,
1066,Todaraisingh,Rajasthan,Municipality,23559.0,Class III
1067,Warhapur,Uttar Pradesh,Nagar Panchayat.,23456.0,Class III
1068,Rajam,Andhra Pradesh,Census town,23424.0,
1069,Urmar Tanda,Punjab,Municipal Council,23419.0,Class III
1070,Lonar,Maharashtra,Municipal Council,23416.0,Class III
1071,Powayan,Uttar Pradesh,Nagar Panchayat,23406.0,
1072,P.N.Patti,Tamil Nadu,Town Panchayat,23331.0,
1073,Palampur,Himachal Pradesh,Town Panchayat,23331.0,
1074,Srisailam Project (Right Flank Colony) Township,Andhra Pradesh,Census town,23273.0,
1075,Sindagi,Karnataka,Town Municipal Council,23234.0,
1076,Sandi,Uttar Pradesh,Municipal board,23234.0,
1077,Vaikom,Kerala,Municipality,23234.0,Class III
1078,Malda,West Bengal,Municipality,23218.0,
1079,Tharangambadi,Tamil Nadu,Town Panchayat,23191.0,Class III
1080,Sakaleshapura,Karnataka,Town Municipal Council,23176.0,
1081,Lalganj,Bihar,Notified area committee / Notified Area Council,23124.0,Class III
1082,Malkangiri,Odisha,Notified area committee / Notified Area Council,23114.0,
1083,Rapar,Gujarat,Municipality,23057.0,
1084,Mauganj,Madhya Pradesh,Nagar Panchayat,23024.0,
1085,Todabhim,Rajasthan,Municipality,22977.0,Class III
1086,Srinivaspur,Karnataka,Town Panchayat,22959.0,
1087,Murliganj,Bihar,Notified area,22936.0,
1088,Reengus,Rajasthan,Municipality,22932.0,
1089,Sawantwadi,Maharashtra,Municipal Council,22901.0,
1090,Tittakudi,Tamil Nadu,Town Panchayat,22894.0,Class III
1091,Lilong,Manipur,Nagar Panchayat,22888.0,Class III
1092,Rajaldesar,Rajasthan,Municipality,22836.0,
1093,Pathardi,Maharashtra,Municipal Council,22827.0,
1094,Achhnera,Uttar Pradesh,Nagar Panchayat.,22781.0,Class III
1095,Pacode,Tamil Nadu,Town Panchayat,22781.0,
1096,Naraura,Uttar Pradesh,Nagar Panchayat,22775.0,Class III
1097,Nakur,Uttar Pradesh,Nagar Palika Parishad,22712.0,Class III
1098,Palai,Kerala,Municipality,22640.0,
1099,"Morinda, India",Punjab,Municipal Council,22635.0,
1100,Manasa,Madhya Pradesh,Nagar Panchayat,22623.0,
1101,Nainpur,Madhya Pradesh,Municipality,22607.0,Class III
1102,Sahaspur,Uttar Pradesh,Nagar Panchayat,22606.0,
1103,Pauni,Maharashtra,Municipal Council,22587.0,
1104,Prithvipur,Madhya Pradesh,Nagar Panchayat,22535.0,
1105,Ramtek,Maharashtra,Municipal Council,22516.0,
1106,Silapathar,Assam,Town Committee / Town Area Committee,22516.0,
1107,Songadh,Gujarat,Municipality,22431.0,
1108,Safipur,Uttar Pradesh,Nagar Panchayat,22378.0,
1109,Sohagpur,Madhya Pradesh,Nagar Panchayat,22339.0,
1110,Mul,Maharashtra,Municipal Council,22330.0,
1111,Sadulshahar,Rajasthan,Municipality,22326.0,
1112,Phillaur,Punjab,Municipal Council,22302.0,
1113,Sambhar,Rajasthan,Municipality,22293.0,
1114,Prantij,Rajasthan,Municipality,22282.0,
1115,Nagla,Uttarakhand,Census town,22258.0,Class III
1116,Pattran,Punjab,Nagar Panchayat,22175.0,
1117,Mount Abu,Rajasthan,Municipality,22152.0,
1118,Reoti,Uttar Pradesh,Nagar Panchayat,22082.0,
1119,Tenu dam-cum-Kathhara,Jharkhand,Census town.,22080.0,Class III
1120,Panchla,West Bengal,Census town,22051.0,
1121,Sitarganj,Uttarakhand,Municipal board,22027.0,
1122,Pasighat,Arunachal Pradesh,Census town,21965.0,
1123,Motipur,Bihar,Notified area,21957.0,
1124,O' Valley,Tamil Nadu,Town Panchayat,21943.0,Class III
1125,Raghunathpur,West Bengal,Municipality,21932.0,
1126,Suriyampalayam,Tamil Nadu,Town Panchayat,21923.0,
1127,Qadian,Punjab,Municipal Council,21899.0,Class III
1128,Rairangpur,Odisha,Notified area committee / Notified Area Council,21896.0,
1129,Silvassa,Dadra and Nagar Haveli,Census town,21893.0,
1130,Nowrozabad (Khodargama),Madhya Pradesh,Nagar Panchayat,21883.0,Class III
1131,Mangrol,Rajasthan,Municipality,21842.0,
1132,Soyagaon,Maharashtra,Census town,21819.0,
1133,Sujanpur,Punjab,Municipal Council,21815.0,
1134,Manihari,Bihar,Notified area,21803.0,
1135,Sikanderpur,Uttar Pradesh,Nagar Panchayat,21783.0,
1136,Mangalvedhe,Maharashtra,Municipal Council,21706.0,
1137,Phulera,Rajasthan,Municipality,21643.0,
1138,Ron,Karnataka,Town Panchayat,21643.0,
1139,Sholavandan,Tamil Nadu,Town Panchayat,21638.0,
1140,Saidpur,Uttar Pradesh,Nagar Panchayat,21568.0,
1141,Shamgarh,Madhya Pradesh,Nagar Panchayat,21507.0,
1142,Thammampatti,Tamil Nadu,Town Panchayat,21503.0,Class III
1143,Maharajpur,Madhya Pradesh,Nagar Panchayat,21490.0,
1144,Multai,Madhya Pradesh,Nagar Panchayat,21423.0,
1145,Mukerian,Punjab,Municipal Council,21384.0,
1146,Sirsi,Uttar Pradesh,Nagar Panchayat,21373.0,
1147,Purwa,Uttar Pradesh,Nagar Panchayat,21271.0,
1148,Sheohar,Bihar,Notified area,21262.0,
1149,Namagiripettai,Tamil Nadu,Town Panchayat,21250.0,Class III
1150,Parasi,Uttar Pradesh,Census town,21206.0,
1151,Lathi,Gujarat,Municipality,21173.0,Class III
1152,Lalganj,Uttar Pradesh,Nagar Panchayat,21142.0,Class III
1153,Narkhed,Maharashtra,Municipal Council,21127.0,Class III
1154,Mathabhanga,West Bengal,Municipality,21107.0,
1155,Shendurjana,Maharashtra,Municipal Council,21083.0,
1156,Peravurani,Tamil Nadu,Town Panchayat,21045.0,
1157,Mariani,Assam,Town Committee / Town Area Committee,20997.0,
1158,Phulpur,Uttar Pradesh,Nagar Panchayat,20986.0,
1159,Rania,Haryana,Municipal Committee,20961.0,
1160,Pali,Madhya Pradesh,Nagar Panchayat,20942.0,
1161,Pachore,Madhya Pradesh,Nagar Panchayat,20939.0,
1162,Parangipettai,Tamil Nadu,Town Panchayat,20912.0,
1163,Pudupattinam,Tamil Nadu,Census town,20901.0,
1164,Panniyannur,Kerala,Census town,20863.0,
1165,Maharajganj,Bihar,Notified area,20860.0,
1166,Rau,Madhya Pradesh,Nagar Panchayat,20855.0,
1167,Monoharpur,West Bengal,Census town,20846.0,
1168,Mandawa,Rajasthan,Municipality,20830.0,
1169,Marigaon,Assam,Town Committee / Town Area Committee,20811.0,
1170,Pallikonda,Tamil Nadu,Town Panchayat,20771.0,
1171,Pindwara,Rajasthan,Municipality,20765.0,
1172,Shishgarh,Uttar Pradesh,Nagar Panchayat,20684.0,
1173,Patur,Maharashtra,Municipal Council,20538.0,
1174,Mayang Imphal,Manipur,Nagar Panchayat,20532.0,
1175,Mhowgaon,Madhya Pradesh,Nagar Panchayat,20523.0,
1176,Guruvayoor,Kerala,Municipality,20510.0,Class III
1177,Mhaswad,Maharashtra,Municipal Council,20500.0,
1178,Sahawar,Uttar Pradesh,Nagar Panchayat,20470.0,
1179,Sivagiri,Tamil Nadu,Town Panchayat,20380.0,
1180,Mundargi,Karnataka,Town Panchayat,20363.0,
1181,Punjaipugalur,Tamil Nadu,Town Panchayat,20309.0,
1182,Kailasahar,Tripura,Nagar Panchayat,20279.0,Class III
1183,Samthar,Uttar Pradesh,Municipal board,20217.0,
1184,Sakti,Chhattisgarh,Nagar Panchayat,20213.0,
1185,Sadalagi,Karnataka,Town Panchayat,20202.0,
1186,Silao,Bihar,Notified area,20177.0,
1187,Mandalgarh,Rajasthan,Municipality,20169.0,
1188,Loha,Maharashtra,Municipal Council,20148.0,Class III
1189,Pukhrayan,Uttar Pradesh,Municipal board,20107.0,
1190,Padmanabhapuram,Tamil Nadu,Municipality,20075.0,
1191,Belonia,Tripura,Municipal Council,19996.0,Class IV
1192,Saiha,Mizoram,Notified Town,19731.0,
1193,Srirampore,West Bengal,,19500.0,
1194,Talwara,Punjab,Census town,19485.0,Class IV
1195,Puthuppally,Kerala,Municipality,18850.0,
1196,Khowai,Tripura,Municipal Council,18526.0,Class IV
1197,Vijaypur,Madhya Pradesh,Nagar Panchayat.,16964.0,Class IV
1198,Takhatgarh,Rajasthan,Municipality,16729.0,Class IV
1199,Thirupuvanam,Tamil Nadu,Town Panchayat,14989.0,Class IV
1200,Adra,West Bengal,Census town.,14956.0,Class IV
1201,Piriyapatna,Karnataka,Census town,14924.0,
1202,Obra,Uttar Pradesh,Nagar Panchayat,14786.0,Class IV
1203,Adalaj,Gujarat,Census town.,11957.0,Class IV
1204,Nandgaon,Maharashtra,Nagar Panchayat,11517.0,Class IV
1205,Barh,Bihar,Census town,10803.0,Class IV
1206,Chhapra,Gujarat,Census town,10147.0,Class IV
1207,Panamattom,Kerala,Notified area,10032.0,
1208,Niwai,Uttar Pradesh,Nagar Panchayat,9205.0,Class V
1209,Bageshwar,Uttarakhand,Nagar Palika Parishad,9079.0,Class V
1210,Tarbha,Odisha,Notified area committee / Notified Area Council.,8334.0,Class V
1211,Adyar,Karnataka,Census town.,7034.0,Class V
1212,Narsinghgarh,Madhya Pradesh,Census town,6735.0,Class V
1213,Warud,Maharashtra,Municipal Council,6386.0,Class V
1214,Asarganj,Bihar,Census town.,6327.0,Class V
1215,Sarsod,Haryana,Gram Panchayat,4630.0,
1216,,,,,
1217,,,,,
